Population Share,Free Market,Welfare Society,Egalitarian Utopia
0.001,1.9001787889565046e-05,0.00010703423699798782,0.000282060063847634
0.002,3.800388285347325e-05,0.00022149953590542464,0.0005812686015288496
0.003,5.700668828093525e-05,0.00033950795098556874,0.0009081004235427074
0.004,7.601015698521499e-05,0.00046313566173676916,0.001247874073278452
0.005,9.501460519736958e-05,0.0005882507221256982,0.0016052884122119233
0.006,0.0001140190781634616,0.0007188596238754451,0.0019693108643685404
0.007,0.00013302392571822383,0.0008516093208390619,0.0023348474045944267
0.008,0.0001520301381655978,0.0009864988149212496,0.002700541240843226
0.009,0.00017104023375386616,0.001121882045285474,0.0030821237296413864
0.01,0.00019005122947153655,0.001257354274980807,0.0034652559274160923
0.011,0.00020906312189339002,0.001393150845178545,0.00386513011171293
0.012,0.0002280758418424461,0.0015328100331568994,0.004265644813267471
0.013,0.00024708934184025953,0.0016747649609210452,0.0046701059481974614
0.014,0.0002661032135771265,0.0018199408605133886,0.005076030739800969
0.015,0.0002851170978642675,0.001965482832787796,0.005482278366656404
0.016,0.0003041329793206946,0.002111330892240036,0.005890880653024833
0.017,0.0003231528493834835,0.00225768495987029,0.006301756151634248
0.018,0.0003421728623044738,0.00240478092909788,0.00671310160636021
0.019,0.0003611967447338207,0.0025534546111276365,0.00712811863831242
0.02,0.00038022180661838236,0.0027021833936566584,0.0075437475347449766
0.021,0.00039924820049773614,0.002853383425142225,0.007962924484879752
0.022,0.000418274980691194,0.003006239707067675,0.008383337227319024
0.023,0.0004373019181764965,0.003159283167666147,0.008805510773449928
0.024,0.0004563316455962836,0.003314157320985412,0.009228428668426568
0.025,0.0004753632964491196,0.0034692526163838306,0.009652112323778165
0.026,0.0004943950551779935,0.00362437483807273,0.010080444883313399
0.027,0.0005134279735501381,0.003782492730737128,0.010512316510860313
0.028,0.0005324619647542357,0.00394295072684174,0.010949504608369355
0.029,0.0005514960572205435,0.004105885759571925,0.011386850152644741
0.03,0.0005705302420319095,0.004269915827036542,0.011831343556257435
0.031,0.0005895648176964343,0.004434167308104635,0.01227621767857961
0.032,0.0006085994322307175,0.004599271162398844,0.012721986710393958
0.033,0.0006276346886919295,0.004765806519417541,0.013169614805543055
0.034,0.0006466743589015855,0.004932346563150925,0.013617696547091758
0.035,0.0006657146072606029,0.005099898866842632,0.01406614435817784
0.036,0.0006847555694786976,0.005268129908775965,0.014520279079833266
0.037,0.0007037984584261922,0.005436987120788767,0.014988588316975448
0.038,0.0007228418319696512,0.00560655003817265,0.015458292854420908
0.039,0.0007418855599987831,0.005776455557267797,0.01593003091655627
0.04,0.0007609293574030304,0.0059474045795745185,0.016402019284601912
0.041,0.0007799734220274607,0.006118986283789298,0.01687757301994074
0.042,0.0007990209817389094,0.006292066330803471,0.017353769136460792
0.043,0.000818069176790741,0.006467319423254744,0.017831202147646115
0.044,0.0008371180123984161,0.0066426637101896805,0.018309952550002884
0.045,0.000856169113408997,0.006819111019697872,0.01878926305382626
0.046,0.0008752208554426085,0.006995697483329816,0.019272736819868602
0.047,0.0008942728487665448,0.007172358900599858,0.019759109119707546
0.048,0.0009133278690394989,0.007349275749333471,0.020246515558047525
0.049,0.0009323848307587008,0.007527112312762478,0.020734831914403166
0.05,0.0009514427015548646,0.007704962845944341,0.02122353059910817
0.051,0.0009705044502841389,0.00788427020691018,0.02171612428489533
0.052,0.0009895671910331119,0.008064332594884718,0.022211296110800544
0.053,0.0010086299776104258,0.008246707034943311,0.022710319915305643
0.054,0.0010276934980766562,0.008429380679220418,0.023210822145912472
0.055,0.0010467598435808445,0.008612685406629308,0.02371262629023732
0.056,0.0010658267292602422,0.008797215574473223,0.02421518908762685
0.057,0.0010848940406114394,0.008983343696976469,0.02471786592555508
0.058,0.0011039626518577008,0.009169533107780826,0.025222171728491016
0.059,0.0011230328461226625,0.009358589198441578,0.025728158233982217
0.06,0.0011421056498004296,0.009549315054686602,0.026235855925908515
0.061,0.0011611789500300669,0.00974081987198409,0.0267435687260004
0.062,0.001180253471039463,0.009933257906549692,0.027251460515885367
0.063,0.0011993281986348967,0.010126106691227689,0.02776079728946833
0.064,0.0012184060113299413,0.010323889337247625,0.028273952204386346
0.065,0.0012374849020721972,0.010521674267209947,0.028787460493926317
0.066,0.0012565662879864075,0.010720773474105523,0.029305783407006163
0.067,0.0012756484032435723,0.01092014032849569,0.02982424563362832
0.068,0.0012947353025469387,0.011120385227757492,0.030342854891645007
0.069,0.0013138234028978561,0.011321275367526768,0.030863087090575128
0.07,0.0013329122126645226,0.01152238713818952,0.03138444147348732
0.071,0.001352001659521699,0.011723629255048433,0.031905962881983156
0.072,0.001371093053982827,0.011924910088949464,0.03243276990538074
0.073,0.0013901856504419177,0.01212742407671111,0.032960669468933904
0.074,0.0014092792081512682,0.012331298903166097,0.03348901937759211
0.075,0.0014283735613308919,0.012535730826417858,0.03401780516438545
0.076,0.0014474709192699932,0.012740707206985526,0.03454872813170587
0.077,0.0014665696319466808,0.01294568859246349,0.03507994605733133
0.078,0.0014856701192842514,0.013151332411929718,0.035614225707576413
0.079,0.0015047720681614176,0.0133577530097979,0.036149940727913936
0.08,0.0015238743341676614,0.013564331707027023,0.03668810726827739
0.081,0.0015429777521826604,0.013771113151443536,0.037226512621868754
0.082,0.0015620835996575369,0.013979037366095565,0.037765408228569775
