Rounds,Median Wealth,Top 10% Wealth Share,Gini Coefficient,Poverty Percentage
1000,897.65,16.62,0.2,0.0
2000,886.62,17.19,0.2111,0.0
5000,885.72,17.11,0.2092,0.0
10000,889.24,17.21,0.2119,0.0
20000,894.88,17.47,0.2127,0.0
50000,920.54,17.1,0.2052,0.0
100000,905.82,16.99,0.207,0.0
