Rounds,Median Wealth,Top 10% Wealth Share,Gini Coefficient,Poverty Percentage
1000,883.84,20.67,0.2889,1.0
2000,810.24,24.15,0.3664,3.1
5000,648.54,30.4,0.447,6.5
10000,609.52,32.15,0.4636,7.2
20000,583.9,32.44,0.4664,7.2
50000,618.97,30.91,0.4556,7.3
100000,614.97,33.06,0.4667,6.7
